"league_canonical","team_id","team_name","rating_entering_latest_series","latest_history_datetime","raw_team_games","effective_combined_kills_per_minute_games","rating_attack_league","rating_defense_league","rating_attack_global","rating_defense_global","momentum_attack","momentum_mortality","momentum_bloodiness","aggression_ahead_league","behavior_ahead_profile","aggression_behind_league","behavior_behind_profile","effective_snowball_opportunities","snowball_conversion_league","snowball_close_speed_league","snowball_index_league"
"CBLOL","oe:team:45c362a0cfc4b81f597b5ab89250df5","Fluxo W7M",2026-05-30 16:11:23,2026-05-16 18:58:04,64,19.7492999139496,96.4616325588823,95.514577984913,91.815289158235,101.923558441321,2.03591314374231,-6.30302581032855,-2.38336542509686,96.732670286752,"peaceful",103.646236945503,"aggressive",5.81600886584202,96.7478636080089,101.618793440142,99.1833285240757
"CBLOL","oe:team:87e3e1e75839f75a10bbc66e894d806","FURIA",2026-06-06 16:16:10,2026-05-24 17:55:36,270,21.9313018035457,109.330836089336,120.980349086157,101.293091984352,123.874973258158,-5.49821570633091,3.83166185561916,-1.37688413073995,96.811558718893,"peaceful",96.6119330960395,"peaceful",8.70197419218465,106.694836283981,99.7526771840325,103.223756734007
"CBLOL","oe:team:53ef3d5a3ac5d88bc000eff7d87aeb3","Leviatan",2026-05-02 16:10:24,2026-04-26 19:52:56,75,19.5837256330676,90.4413426300212,86.7170439981095,88.9556425550132,92.6896535120499,3.38779806414976,-1.24882110305691,0.84011633439377,98.9007142078612,"neutral",104.637045739006,"aggressive",6.03861175941189,100.569024183845,95.198978657926,97.8840014208857
"CBLOL","oe:team:ea65e6cc48a9be50fc5334369a5fca5","LØS",2026-06-06 16:16:10,2026-05-31 17:56:13,148,31.4647417705973,111.547662501202,109.439934493388,102.337818557118,113.625017138201,-1.02751940513522,-1.04956351141122,-1.03774439527977,104.593979530661,"aggressive",96.6701140647628,"peaceful",11.8275143628853,104.253956255563,102.441979881082,103.347968068322
"CBLOL","oe:team:658a021a796aa5501503220adb38cf4","LOUD",2026-05-26 00:35:59,2026-05-25 23:42:01,312,31.3516890975046,92.7707477516553,99.6276191921754,88.8722032730154,104.933672462747,1.55471539453411,-3.82020363384675,-1.25802831480476,92.2508177745902,"peaceful",102.291349037271,"neutral",5.73922288573844,97.6441511891018,98.3720207280746,98.0080859585882
"CBLOL","oe:team:61450737f7b683db4da7b3e0bf0dced","paiN Gaming",2026-05-02 16:10:24,2026-04-25 18:52:16,298,17.7120471067416,87.8374080788745,84.1379696792062,86.7527679195131,90.3731052982969,-0.529522461847662,-3.29327557392753,-2.05266098777732,100.348376421481,"neutral",103.684111442059,"aggressive",4.63634993391433,88.4283471106748,99.6275933827076,94.0279702466912
"CBLOL","oe:team:67169969ecc058b307edfa9c6b7a3c0","RED Canids",2026-05-31 16:11:02,2026-05-24 17:55:36,304,23.3487136543212,110.128714875849,111.054496602153,101.905591812321,115.407271523931,-11.0533178441913,2.60307149287509,-4.87463823187876,104.320990685474,"aggressive",94.6835139059432,"peaceful",8.04196876360528,100.235011999406,101.932390011456,101.083701005431
"CBLOL","oe:team:b9e44c69c1a70fb35df9be96f9eafea","Vivo Keyd Stars",2026-05-23 16:12:43,2026-05-09 18:57:22,221,20.7546159740066,95.941250097227,98.8793415224514,91.1579925609361,104.926978579282,-4.02267123838544,-2.05005439347229,-3.0228230915188,104.139115480522,"aggressive",94.1597905728988,"peaceful",5.61335531824468,101.357296783819,98.8271159505252,100.092206367172
"LCK","oe:team:5c2e7e9ea8dfcba0150d9a5619baecf","BNK FEARX",2026-05-30 10:20:58,2026-05-27 13:07:31,292,49.485236463707,99.3713919937805,89.3486119156034,104.670694490956,85.5760255914895,-3.01766459139039,-3.5247988097928,-3.28371647370555,104.593451614917,"aggressive",104.343310933742,"aggressive",12.2988751609944,94.3476195397639,97.4431747415672,95.8953971406656
"LCK","oe:team:b3c72a20aa56f5d28022ac04a7dc294","DN SOOPers",2026-05-30 08:05:58,2026-05-28 09:44:44,441,42.2790031103825,78.5345757176034,84.2896396422695,84.5757930599128,81.5795783936651,1.28560112493997,0.340243571409701,0.731179676631967,97.766193717887,"neutral",98.7668619913394,"neutral",8.33142975651728,84.373452919119,98.6902915447784,91.5318722319487
