"period","entity_type","league_canonical","entity_name","metric","value","short_level","long_level","normalized_index","momentum_percent","trend_per_week","volatility_percent","regime","observations"
2025-06-09,"team","CBLOL","Isurus Estral","snowball_index_league",101.520593,101.202033,100.811653,100.387237,0.387237,0.137445,2.646931,"balanced",12
2024-07-29,"team","CBLOL","KaBuM! Esports","aggression_ahead_league",98.268009,98.916602,99.722562,99.191797,-0.808203,-0.221226,0.877389,"cold_deteriorating",61
2024-07-29,"team","CBLOL","KaBuM! Esports","aggression_behind_league",93.643887,93.351721,93.471048,99.872338,-0.127662,0.148231,1.528269,"balanced",61
2024-07-29,"team","CBLOL","KaBuM! Esports","combined_kills_per_minute",0.592516,0.714263,0.743998,96.003404,-3.996596,2.234806,40.241918,"cold_recovering",61
2024-07-29,"team","CBLOL","KaBuM! Esports","deaths_per_minute",0.561331,0.476507,0.420139,113.416502,13.416502,0.985795,47.280905,"hot_accelerating",61
2024-07-29,"team","CBLOL","KaBuM! Esports","game_length_minutes",32.066667,32.412667,32.730998,99.027433,-0.972567,0.392077,7.428463,"cold_recovering",61
2024-07-29,"team","CBLOL","KaBuM! Esports","kills_per_minute",0.031185,0.237756,0.323859,73.413565,-26.586435,3.855135,106.655104,"cold_recovering",61
2024-07-29,"team","CBLOL","KaBuM! Esports","rating_attack_global",98.233471,97.85235,96.477677,101.424861,1.424861,0.735657,4.072004,"hot_accelerating",61
2024-07-29,"team","CBLOL","KaBuM! Esports","rating_attack_league",95.291651,95.68773,95.243351,100.466572,0.466572,0.368534,3.4067,"hot_accelerating",61
2024-07-29,"team","CBLOL","KaBuM! Esports","rating_defense_global",103.609905,104.578189,104.32259,100.245008,0.245008,-0.097665,1.495915,"balanced",61
2024-07-29,"team","CBLOL","KaBuM! Esports","rating_defense_league",107.059039,107.288805,105.718014,101.485831,1.485831,0.385867,1.454148,"hot_accelerating",61
2024-07-29,"team","CBLOL","KaBuM! Esports","snowball_index_league",99.857401,99.830994,99.577741,100.254326,0.254326,0.038849,0.015143,"balanced",61
2026-04-27,"team","CBLOL","Leviatan","aggression_ahead_league",98.900714,98.674259,98.78222,99.890709,-0.109291,0.028437,0.953857,"balanced",25
2026-04-27,"team","CBLOL","Leviatan","aggression_behind_league",104.637046,103.440441,100.947816,102.469222,2.469222,0.525475,1.159307,"hot_accelerating",25
2026-04-27,"team","CBLOL","Leviatan","combined_kills_per_minute",0.690572,0.850766,0.870538,97.728669,-2.271331,0.240376,16.659925,"cold_recovering",25
2026-04-27,"team","CBLOL","Leviatan","deaths_per_minute",0.554972,0.599604,0.559425,107.182188,7.182188,2.175259,26.936543,"hot_accelerating",25
2026-04-27,"team","CBLOL","Leviatan","game_length_minutes",29.066667,31.893348,32.738496,97.418489,-2.581511,-0.457639,13.545654,"cold_deteriorating",25
2026-04-27,"team","CBLOL","Leviatan","kills_per_minute",0.1356,0.251161,0.311113,80.729911,-19.270089,-3.238817,34.965615,"cold_deteriorating",25
2026-04-27,"team","CBLOL","Leviatan","rating_attack_global",88.955643,89.851143,91.378038,98.329034,-1.670966,-0.487417,1.226483,"cold_deteriorating",25
2026-04-27,"team","CBLOL","Leviatan","rating_attack_league",90.441343,91.402395,92.324912,99.000792,-0.999208,-0.034642,2.05276,"cold_deteriorating",25
2026-04-27,"team","CBLOL","Leviatan","rating_defense_global",92.689654,94.696464,97.171788,97.45263,-2.54737,-0.207801,2.719969,"cold_deteriorating",25
2026-04-27,"team","CBLOL","Leviatan","rating_defense_league",86.717044,89.27878,93.187385,95.80565,-4.19435,-0.81921,2.715576,"cold_deteriorating",25
2026-04-27,"team","CBLOL","Leviatan","snowball_index_league",97.884001,97.741708,97.711727,100.030684,0.030684,0.17167,1.61016,"balanced",25
2024-07-22,"team","CBLOL","Liberty","aggression_ahead_league",98.517208,98.698043,98.770514,99.926627,-0.073373,0.071619,0.825465,"balanced",55
2024-07-22,"team","CBLOL","Liberty","aggression_behind_league",109.006748,107.634459,105.041882,102.468136,2.468136,0.811167,1.71739,"hot_accelerating",55
2024-07-22,"team","CBLOL","Liberty","combined_kills_per_minute",1.145844,1.035299,0.948507,109.150354,9.150354,3.521468,18.452532,"hot_accelerating",55
2024-07-22,"team","CBLOL","Liberty","deaths_per_minute",0.772767,0.730541,0.636964,114.691168,14.691168,4.812092,25.770975,"hot_accelerating",55
2024-07-22,"team","CBLOL","Liberty","game_length_minutes",30.675,29.314992,30.222094,96.998548,-3.001452,-1.611831,9.371121,"cold_deteriorating",55
2024-07-22,"team","CBLOL","Liberty","kills_per_minute",0.373077,0.304758,0.311543,97.821925,-2.178075,0.882733,72.03299,"cold_recovering",55
2024-07-22,"team","CBLOL","Liberty","rating_attack_global",90.293118,91.557519,92.649927,98.82093,-1.17907,-0.298657,2.893755,"cold_deteriorating",55
2024-07-22,"team","CBLOL","Liberty","rating_attack_league",86.791115,89.201982,91.040709,97.980324,-2.019676,-0.622602,2.326512,"cold_deteriorating",55
2024-07-22,"team","CBLOL","Liberty","rating_defense_global",81.159532,84.705837,89.114583,95.052722,-4.947278,-1.76184,2.799896,"cold_deteriorating",55
2024-07-22,"team","CBLOL","Liberty","rating_defense_league",79.215989,82.467068,87.002031,94.787521,-5.212479,-1.850656,2.504138,"cold_deteriorating",55
2024-07-22,"team","CBLOL","Liberty","snowball_index_league",94.64695,95.336996,96.599428,98.693127,-1.306873,-0.442068,1.580725,"cold_deteriorating",55
2026-06-01,"team","CBLOL","LØS","aggression_ahead_league",104.59398,103.303353,100.499059,102.790368,2.790368,0.881962,1.026981,"hot_accelerating",56
2026-06-01,"team","CBLOL","LØS","aggression_behind_league",96.670114,97.401623,98.055498,99.333158,-0.666842,-0.084281,1.13216,"cold_deteriorating",56
2026-06-01,"team","CBLOL","LØS","combined_kills_per_minute",0.670773,0.802619,0.842634,95.251164,-4.748836,0.126755,12.454214,"cold_recovering",56
2026-06-01,"team","CBLOL","LØS","deaths_per_minute",0.435572,0.390765,0.404367,96.636396,-3.363604,-2.847525,54.024254,"cold_deteriorating",56
2026-06-01,"team","CBLOL","LØS","game_length_minutes",33.858333,32.62631,32.468234,100.486864,0.486864,-0.274926,8.687979,"hot_cooling",56
2026-06-01,"team","CBLOL","LØS","kills_per_minute",0.235201,0.411853,0.438267,93.973082,-6.026918,2.870972,57.637003,"cold_recovering",56
2026-06-01,"team","CBLOL","LØS","rating_attack_global",102.337819,99.910749,98.771352,101.15357,1.15357,0.05003,2.922758,"hot_accelerating",56
2026-06-01,"team","CBLOL","LØS","rating_attack_league",111.547663,107.279432,103.34877,103.803298,3.803298,0.625834,2.993425,"hot_accelerating",56
2026-06-01,"team","CBLOL","LØS","rating_defense_global",113.625017,110.440875,108.286313,101.98969,1.98969,-0.101694,2.491343,"hot_cooling",56
2026-06-01,"team","CBLOL","LØS","rating_defense_league",109.439934,106.00034,105.464174,100.508387,0.508387,-0.62266,3.446719,"hot_cooling",56
2026-06-01,"team","CBLOL","LØS","snowball_index_league",103.347968,102.190698,101.300557,100.878713,0.878713,-0.067421,1.993921,"hot_cooling",56
2026-05-25,"team","CBLOL","LOUD","aggression_ahead_league",92.510988,93.886199,96.146731,97.648873,-2.351127,-0.793624,0.97185,"cold_deteriorating",103
2026-05-25,"team","CBLOL","LOUD","aggression_behind_league",101.803835,100.701386,99.889307,100.812979,0.812979,0.282526,0.884812,"hot_accelerating",103
2026-05-25,"team","CBLOL","LOUD","combined_kills_per_minute",0.851829,0.802074,0.813599,98.58336,-1.41664,-1.007911,6.142005,"cold_deteriorating",103
2026-05-25,"team","CBLOL","LOUD","deaths_per_minute",0.495095,0.439858,0.420272,104.660322,4.660322,1.521154,56.297608,"hot_accelerating",103
2026-05-25,"team","CBLOL","LOUD","game_length_minutes",32.193333,33.066902,33.466987,98.804538,-1.195462,0.299113,14.626235,"cold_recovering",103
2026-05-25,"team","CBLOL","LOUD","kills_per_minute",0.356734,0.362215,0.393327,92.090091,-7.909909,-3.710232,53.730945,"cold_deteriorating",103
